,t_in,t_corridor,t_hall,t_out,t_s,AC_power,Time
2019-01-01 00:05:00+09:00,21.95,19.25,20.41,3.16,19.2,293.0,2019-01-01 00:05:00+09:00
2019-01-01 00:10:00+09:00,21.95,19.24,20.41,3.22,19.15,293.0,2019-01-01 00:10:00+09:00
2019-01-01 00:15:00+09:00,21.96,19.23,20.41,3.27,19.09,293.0,2019-01-01 00:15:00+09:00
2019-01-01 00:20:00+09:00,21.96,19.22,20.4,3.33,19.03,292.0,2019-01-01 00:20:00+09:00
2019-01-01 00:25:00+09:00,21.96,19.21,20.4,3.39,18.98,292.0,2019-01-01 00:25:00+09:00
2019-01-01 00:30:00+09:00,21.97,19.21,20.4,3.45,18.92,291.0,2019-01-01 00:30:00+09:00
2019-01-01 00:35:00+09:00,21.97,19.2,20.4,3.51,18.87,290.0,2019-01-01 00:35:00+09:00
2019-01-01 00:40:00+09:00,21.97,19.2,20.4,3.57,18.81,287.0,2019-01-01 00:40:00+09:00
2019-01-01 00:45:00+09:00,21.97,19.19,20.4,3.62,18.76,287.0,2019-01-01 00:45:00+09:00
2019-01-01 00:50:00+09:00,22.01,19.19,20.41,3.68,18.7,281.0,2019-01-01 00:50:00+09:00
2019-01-01 00:55:00+09:00,22.02,19.18,20.42,3.74,18.65,278.0,2019-01-01 00:55:00+09:00
2019-01-01 01:00:00+09:00,22.02,19.18,20.42,3.8,18.6,275.0,2019-01-01 01:00:00+09:00
2019-01-01 01:05:00+09:00,22.03,19.18,20.43,3.78,18.54,274.0,2019-01-01 01:05:00+09:00
2019-01-01 01:10:00+09:00,22.03,19.18,20.43,3.77,18.49,273.0,2019-01-01 01:10:00+09:00
2019-01-01 01:15:00+09:00,22.03,19.17,20.43,3.75,18.44,272.0,2019-01-01 01:15:00+09:00
2019-01-01 01:20:00+09:00,22.02,19.17,20.43,3.73,18.39,271.0,2019-01-01 01:20:00+09:00
2019-01-01 01:25:00+09:00,22.02,19.17,20.42,3.72,18.33,270.0,2019-01-01 01:25:00+09:00
2019-01-01 01:30:00+09:00,22.02,19.16,20.42,3.7,18.28,270.0,2019-01-01 01:30:00+09:00
2019-01-01 01:35:00+09:00,22.02,19.16,20.42,3.68,18.23,269.0,2019-01-01 01:35:00+09:00
2019-01-01 01:40:00+09:00,22.01,19.16,20.42,3.67,18.18,269.0,2019-01-01 01:40:00+09:00
